City,Fuel Type,Body_Type,Kilometers_driven,Transmission,ownerNo,oem,model,modelYear,Displacement,variantName,Insurance Validity,No of Cylinder,Color,Values per Cylinder,Engine Type,Seats,Mileage_num,Torque_num,price_num,Power_num
Bangalore,Petrol,Hatchback,120000,Manual,3,Maruti,Maruti Celerio,2015,998,VXI,Third Party insurance,3.0,White,4.0,K10B Engine,5,23.1,90.0,4.0,67.04
Bangalore,Petrol,SUV,32706,Manual,2,Ford,Ford Ecosport,2018,1497,1.5 Petrol Titanium BSIV,Comprehensive,3.0,White,4.0,Ti-VCT Petrol Engine,5,17.0,150.0,8.11,121.31
Bangalore,Petrol,Hatchback,11949,Manual,1,Tata,Tata Tiago,2018,1199,1.2 Revotron XZ,Comprehensive,3.0,Red,4.0,Revotron Engine,5,23.84,114.0,5.85,84.0
Bangalore,Petrol,Sedan,17794,Manual,1,Hyundai,Hyundai Xcent,2014,1197,1.2 Kappa S Option,Comprehensive,4.0,Others,4.0,Kappa VTVT Petrol Engine,5,19.1,113.75,4.62,81.86
Bangalore,Diesel,SUV,60000,Manual,1,Maruti,Maruti SX4 S Cross,2015,1248,DDiS 200 Zeta,Third Party insurance,4.0,Gray,4.0,DDiS 200 Diesel Engine,5,23.65,200.0,7.9,88.5
Bangalore,Diesel,SUV,20000,Manual,1,Jeep,Jeep Compass,2020,1956,2.0 Longitude BSIV,Third Party insurance,4.0,Others,4.0,2.0-Litre 4-Cyl Multijet II Engine,5,17.1,350.0,19.0,170.0
Bangalore,Petrol,Hatchback,37772,Manual,1,Datsun,Datsun GO,2017,1198,T Option BSIV,Comprehensive,3.0,Grey,4.0,Petrol Engine,5,20.63,104.0,3.45,67.0
Bangalore,Petrol,Sedan,37000,Automatic,1,Maruti,Maruti Ciaz,2018,1462,Alpha Automatic BSIV,Comprehensive,4.0,Maroon,4.0,k15B VVT Engine,5,20.28,138.0,9.6,103.25
Bangalore,Petrol,Hatchback,11949,Manual,1,Tata,Tata Tiago,2017,1199,1.2 Revotron XZ WO Alloy,Comprehensive,3.0,Red,4.0,Revotron Engine,5,23.84,114.0,5.85,84.0
Bangalore,Petrol,Hatchback,50000,Manual,1,Maruti,Maruti Baleno,2018,1197,1.2 Delta,Third Party insurance,4.0,Red,4.0,VVT Petrol Engine,5,21.4,115.0,6.9,83.1
Bangalore,Petrol,Hatchback,24887,Automatic,1,Hyundai,Hyundai Grand i10,2019,1197,1.2 Kappa Sportz Option AT,Third Party insurance,4.0,Orange,4.0,Kappa VTVT Petrol Engine,5,18.9,113.75,6.82,81.86
Bangalore,Petrol,Hatchback,23000,Automatic,1,Honda,Honda Jazz,2018,1199,VX CVT,Comprehensive,4.0,Grey,4.0,i-VTEC Petrol Engine,5,18.2,110.0,8.25,88.7
Bangalore,Petrol,Hatchback,48928,Automatic,1,Tata,Tata Tiago,2018,1199,1.2 Revotron XZA,Comprehensive,3.0,Red,4.0,Revotron Engine,5,23.84,114.0,5.95,83.83
Bangalore,Diesel,SUV,108862,Manual,3,Mahindra,Mahindra XUV500,2014,2179,W6 2WD,Comprehensive,4.0,Silver,4.0,mHawk Diesel Engine,7,15.1,330.0,6.9,140.0
Bangalore,Diesel,SUV,80000,Manual,1,Jeep,Jeep Compass,2018,1956,2.0 Limited,Third Party insurance,4.0,Others,4.0,2.0-Litre 4-Cyl Multijet II Engine,5,17.1,350.0,13.5,170.0
Bangalore,Diesel,Hatchback,65376,Manual,2,Hyundai,Hyundai i20,2014,1396,Asta 1.4 CRDi,Comprehensive,4.0,Blue,4.0,U2 CRDI Diesel Engine,5,21.27,219.6,5.21,88.76
Bangalore,Petrol,SUV,10000,Manual,1,Tata,Tata Nexon,2022,1199,XM Plus S BSVI,Third Party insurance,3.0,Others,4.0,1.2l Turbocharged Revotron Engine,5,17.33,170.0,10.05,118.35
Bangalore,Petrol,Sedan,67000,Manual,2,Honda,Honda City,2016,1497,i VTEC V,Comprehensive,4.0,Brown,4.0,i VTEC Engine,5,17.8,145.0,7.75,117.3
Bangalore,Diesel,Sedan,100000,Automatic,3,BMW,BMW 5 Series,2011,1995,520d Sedan,Third Party insurance,4.0,White,4.0,In-Line Engine,5,18.48,35.7,22.0,177.0
Bangalore,Petrol,Hatchback,18083,Manual,1,Maruti,Maruti Swift,2016,1197,VXI,Comprehensive,4.0,Silver,4.0,K Series Dual jet,5,22.38,113.0,5.82,88.5
Bangalore,Petrol,SUV,30000,Manual,1,Renault,Renault Duster,2020,1498,RXS,Third Party insurance,4.0,Others,4.0,1.5L Petrol,5,16.42,142.0,10.9,104.55
